Judul Video,Akun Komentar,Komentar,Likes,Waktu Komentar;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@arissugianto8253,Best episode 👍👍,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@haikalwoii4052,emang pemake semua nih😂,0,2025-12-22 00:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Tri_Fahroozy45,""Yeuhhh anak ospekk mau lawan ketua osis, nangiss kan lu 😂"",0,2025-12-22 00:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@_muhammadbagja,Kali Ini indra Frimawan kalah sama bintang tamunya.. Wkwk,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@tonytristansaputra5906,Jujur gua ga ngerti obrolan mereka berdua 😢,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@klifvegeta,jagung itu 3 bulan btw bukan 1.5 tahun,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@nicookies3747,Bertahan setengah jam doang 😂,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@alrifkis4246,Ini mau main dimanasih,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@gullitgondrong,sama sama ngeselinnya,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@FRVPN,Cocok lah nih..wkwkwkw😂😂,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@purnadohengky9672,Harusnya mereka yg ada disenayan,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@RaipanSugandar-qj1qs,Teresep,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ngakakkocakgallery,Kalah telak ini mah ...kwkwkw😂,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Oktaviapuspitasari-ft3wp,31:22 AaaakkkhhhhhhhggggggAaaakkkhhhhhhhgggggg 😭,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@sudutpikir,apa cuma gua yang ngerasa kalo kukuh tuh cocok banget sama frimawan?😂,0,2025-12-22 00:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ars0zero,Menyenangkan melihat indra frimawan kesal,0,2025-12-22 00:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@KubilKupin,""Kukuh buat kesel justin ga mampu, ada 2 part minta digampar yg sama justin, malah justinnya nyaman diajak ngbrol gaya kukuh 🤣🤣"",0,2025-12-21 23:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ilham9152,Hmmm haus yee🗿,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@motivasibuatsaya,Jagung tidak sampai setahun hanya beberapa bulan saja,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@gamarasman6670,Rematch ga sihh,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rangga_apz3591,Akhirnya frimawan menemukan lawan yang sepadan,0,2025-12-21 23:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@aonneee,""justru episode paling kocak hahahaha, puas banget rasanya waktu frimawan menghela nafas. counter ter'thebest!"",0,2025-12-21 23:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Fizko8,Btw thumbnailnya kenapa harus make AI dah? Jadi aneh muka bang indra sama kukuh nya,1,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@buyunksua9500,dapet lawan lo ndra,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@jienxzsicx5107,𝙇𝙖𝙬𝙖𝙣 𝙮𝙖𝙣𝙜 𝙨𝙚𝙥𝙖𝙙𝙖𝙣 😁,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@riansimarmata3453,Kok nonton ini kepala saya tiba tiba beratttt bgt 😢,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@reihanalfarizy8483,l,0,2025-12-21 23:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@roronoazolo-t3g,""Seminggu nunggu logika frimawan, tapi nggak asik"",0,2025-12-21 23:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ininunashorts,Pertarungan sengit wkwkwk,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@BayDarmawan,Lawan yamg sepadan 😂,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@RiskiGrab-y7u,Indra K.O dikandang sendiri 😂😂,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@sagaramulyana623,Myo',0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@sherly0106,Ini baru sepadan wkwk,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@indarimd4891,Nah ini.. rival sepadan👍,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@shinichisano-b5s5w,lawan terberat wkwk,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rizkynurzaman1050,Ini harusnya di partai Final😂,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Babysharkku,Gw ngakak dari awal video,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@asepafendy8109,Soleh sholehon,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@takahasilast6616,Frimawan vs KUKUH { bigmatch } but Frimawan vs Pak Surya { clasicomatch },0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@yopisetiawan1620,Lawan yang pas 😂😂😂😂,0,2025-12-21 23:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@cumbukeda4074,""Jelas kukuh lebih op dari pada fajar / firmawan, apalagi pas aldi taher di bikin emosi pas aldi taher lagi kabel putus"",0,2025-12-21 23:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@deadlyofficial5381,Anomali 🗿,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@hprealmecsatusatu,Undang cak lontong,0,2025-12-21 23:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@nguy3nhunter704,""Dah kocak ini dua orang .. ";
;
"Nih mau yang kocak dan bikin happy   cuma di sini aja 🆆🅸🅵🅸4🅳"",0,2025-12-21 23:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@GaharPratomo,okay,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@SyafaNazala-yk5cx,Jadikan aja 2 orang ini jadi host nya,3,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Ariar_D_ian,Ini Pak Purnomo pasti sedang memantau,0,2025-12-21 23:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@papey4826,UNDANG AR,0,2025-12-21 23:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@fauzanrafid5701,""bang indra 0 - 1 bang kukuh, ayo rematch bang WKKWKWKW"",0,2025-12-21 22:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@valentheo4147,G asik bintang tamu episode kali ini.,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rifqinurakmal752,Akhirnya 😅😅😅😅,0,2025-12-21 22:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@agungario7769,""BANG INDRA FRIMAWAN KALAH TELAK 😂😂";
"REMATCH DONGGG BANG 😂😂"",0,2025-12-21 22:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@suryantoalone7956,Kalau ini mah bintang tamunya susah bang di bikin Emosi 😂 cari yg Gampang2 aja bang tamunya 😂😂,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@SmackdowNdasmu,😁,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@kireichan8629,Obrolan cowok jam 3 pagi,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@GoodGamePoke,kemarin fajar sadboys ku kira raja terakhir ternyata inilah raja terakhir saat ini wkwkw,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@aymeyyuniar,batu fajar sadboy dan kukuh yg bikin host kolaps,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@fzfrhn7992,Next surya insomnia cak lontong desta wendy cagur,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@caswatidarim9920,Diatas anjin* masih ada kukuh😂,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@jurnalsigege2579,Petcahhh anjeenggg awakakakakkakakaka,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@riskihidayat1931,Ini bang kukuh nahan ketawa bangett sampe kumisnya bergetar kwkwkwkw 😂,0,2025-12-21 22:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@pemudajarangpiknik16,""Ayo om ded gabungkan frimawan, kukuh, fajar sadboy vs master logika, pascol, panji pragiwaksono"",14,2025-12-21 22:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@OJOLPLATT,EPISODE INI YANG PALING GOKIL SIH MENURUT GUA 🤣,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@abiyyu_zakly,33:12 malah sampe abis😂 ini acara apa 😂 awal-akhir masuk akal akal di masuk😂,2,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@MuhammadAkbar-i5k9c,Episode kali ini kureng.,0,2025-12-21 22:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@wanjack21,""ASLI KELLASSSSD ";
"KUukkkkUuuhhHhh"",0,2025-12-21 22:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@MhmmdFaisal402,Video paling bagus sih ini bang indra bener ² emosi beda pas sama fajar yg ini bener ² keren top lah,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@abiyyu_zakly,vs duel😂,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@yudhairmawan4323,yang ditunggu tunggu dari dulu,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@thomenkngunje3391,Puas bang in? 😁😁😁,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@irwanmukminin5309,p,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@wulansiam9292,Ngekek pollllll,0,2025-12-21 22:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@penafauzy,El Clasico,1,2025-12-21 22:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@AnggiMiswari3,""Indra gak respect bnged njirr sama kukuh. Ngancurin acara, nya indra"",0,2025-12-21 21:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@GoldenBlessYoutubekoFrans,Kali ini dapat lawan setimpal😅,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@wibyprabowo2903,kelazz,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@delkokayne7362,senior di lawan wkwk,0,2025-12-21 21:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@TAUFIKSURE,""Rematch di bloom tahu gass gass, pengen liat kukuh 2-0in indra😂"",0,2025-12-21 21:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@AnggiMiswari3,Gak asik gak asikk kali ini acaranya😴😴😴,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@dimasrizky8438,Dah rematch rematch. Lu telak ndra kali ini 😂,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@DianGina-s3l,Indra dan Kukuh berhasil menyajikan debat yang tidak hanya panas tapi juga bermakna 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@VaroYahya,Perdebatan ini bikin penonton sadar bahwa satu topik bisa dilihat dari banyak sudut pandang 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@RafaZakie-m7u,Diskusi panas tapi tetap terkontrol seperti ini jarang ditemui dan patut diapresiasi 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Salsajena-c9w,Indra dan Kukuh sama-sama punya gaya khas yang bikin penonton bisa menilai sendiri tanpa harus dipengaruhi 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@SyakhilaDatri,Adu debat seperti ini jauh lebih menarik dibanding sekadar debat kosong tanpa arah 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@IvanEdrian,""Kukuh keliatan berani menguji argumen Indra, sementara Indra tetap konsisten mempertahankan sudut pandangnya 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱"",0,2025-12-21 21:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@UDIN-q2i,Debat ini menunjukkan bahwa beda pendapat itu wajar selama disampaikan dengan argumen dan bukan emosi 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@MASALVIERY,Perbedaan cara berpikir Indra dan Kukuh justru jadi nilai plus yang bikin diskusi terasa seimbang 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ArfaArga-t7z,Indra juga patut diapresiasi karena mampu menahan emosi dan tetap fokus pada substansi debat 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ArfaArgi,Kukuh dengan gaya bicara yang tajam bikin debat makin panas tapi tetap menarik untuk diikuti sampai akhir 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ArfaFa-q9h,Adu argumen seperti ini justru enak ditonton karena membuka wawasan dan bikin penonton ikut berpikir 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@arfafa-u4z9v,""Indra terlihat tenang dan terstruktur saat menyampaikan pendapat, sementara Kukuh tampil lugas dan berani menekan poin penting 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱"",0,2025-12-21 21:00:00";
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@lannasamullani,""Debat ini terasa hidup karena bukan sekadar adu suara, tapi adu logika dan sudut pandang yang sama-sama punya dasar 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱"",0,2025-12-21 21:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@AprianiSusanti-q3f,Seru melihat Indra yang konsisten dengan argumennya berhadapan langsung dengan Kukuh yang kritis dan detail dalam menanggapi 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@gradisya,Adu debat antara Indra dan Kukuh di video ini benar-benar menarik karena keduanya punya sudut pandang kuat dan cara penyampaian yang sama-sama tegas 🔱𝗠 𝗘 𝗩 𝗜 𝗨 𝗦 𝗧 𝗢 𝗧 𝗢🔱,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@habyakbar1525,Surya kenapa ga di undang yaa?,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rizalmisteri239,Lawan😊 berat,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Bima21Band,Lawan seimbang,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@sahrilsubakti3413,thumbnail nya pake AI dan ga mirip lagi😂,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@SayahDewa-f4z,El clasico🎉😂,1,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@bakpawEmpatdua,Percakapan laki² di jam 3 pagi,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@BayuFakboi,minta digampar wkwkw,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Darmaya-x5g,Kualitasnya top banget 💎 𝐆𝐀𝐑𝐔𝐃𝐀𝐆𝐀𝐂𝐎𝐑 selalu memuaskan,1,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Darmaya-x5g,Orang-orang wajib tau ngabisin waktu paling asik 𝐆𝐀𝐑𝐔𝐃𝐀𝐆𝐀𝐂𝐎𝐑,1,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@thecrotor7854,Tamu lasuu nganga,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ZahDwellys9,Undang fajar sad boy satu lawan satu coba,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@dadammochramdhani9484,gua ngakak liat nya wkwkwk,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@SantriPansor-vm1me,Keren2😂,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@RiaoktaNanda,Super big match kukuh vs soleh,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@dimasrizky8438,ANJEENGGG 😂😂😂,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@JunJun-ic9sr,😂,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@suhanhasyim9762,Gagok kannnn😂 klo ketemu lawan yg sepadan,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@thecrotor7854,Tamu taiii,0,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Ny-kp5cc,Mereka berdua jadi satu .w yakin bintang tamu ga ada yg mau Dateng 😂😂😂😂😂😂😂😂😂 gila si ini terlalu parah .,66,2025-12-21 21:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@muhammadjafar1968,Kukuh kalo pengen kewtawa jgn ditahan😂,0,2025-12-21 21:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@aldykasan7362,""wkwkwk bagus si ini, dari gw nnton pascol baru ini yg mntab"",0,2025-12-21 21:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Babadanhilya,Undang andre taulany bsa kg sih,0,2025-12-21 20:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Nestav9,campur fajar keren nih,0,2025-12-21 20:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@KertakudaSatu-qw1sf,Komeeeeeeng donk masa engga,0,2025-12-21 20:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@aura-e7w,😂😂😂😂😂,0,2025-12-21 20:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@papazola5779,Jadi gak kyk film di balik layar😂,0,2025-12-21 20:00:00;
