Judul Video,Akun Komentar,Komentar,Likes,Waktu Komentar;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ilhamhelmi6904,Final chapter,0,2025-12-22 06:40:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@miadwiaprilia7714,""kak frimawan maafin nonton ini baru di menit ke 4 gua dah berucap """"mampus"""" 😭"",0,2025-12-22 06:40:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Owl.Fpv_JFF,wkwkwkwkwkwkwkwk sekarang gua suka acara ini,0,2025-12-22 06:40:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Tasama08,Indra Frimawan DEFEATED,0,2025-12-22 06:40:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@suryaaryaerlangga880,Raja terakhir yg terlalu cepat😅,0,2025-12-22 06:37:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@dwipratiwi6156,Undang haji Bolot dong,0,2025-12-22 06:36:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@typolirik4698,Lawan berat nih,0,2025-12-22 06:35:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Pilot.siantar,""Yg ditinggu²😂";
"Akhirnya ketemu lawan seimbang kan 😂😂"",0,2025-12-22 06:34:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@dausherma4159,Counter indra freemawan ditemukan 😅,1,2025-12-22 06:33:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Saalam99,Frimawan vs Luhut Panjaitan,0,2025-12-22 06:33:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@go_lan3271,Sama kaya waktu ama si fajar jing😂. Di indra jadi korban😂😂,0,2025-12-22 06:33:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@iyusramdani1354,jadi korban tuh frawan atau kukuh sih?😭😂,0,2025-12-22 06:33:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@prifly-y7b,Bingung yang mana host yang mana bintang tamu 😂😂😂,0,2025-12-22 06:33:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@kalagemet.mp4,""gw dulu mikir kalo kukuh yang mau ngisi acara ini, mungkin gamau aja dia"",0,2025-12-22 06:31:00";
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@drabmdhen,""parah2... pasien RSJ mana yang kabur nih...🤣🤣🤣🤣🤣 ";
"kesampein juga request gw..."",1,2025-12-22 06:31:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rancu5720,Frimawan knocked out 🤣,0,2025-12-22 06:31:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@threesixfive406,PALING GONGGG SIH INI GAADA LAWAN WKWK,0,2025-12-22 06:30:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@freyr8443,""obrolan ketika kita jam 3 pagi,asbun banget jir awokwok"",0,2025-12-22 06:29:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rosaariana1655,WKAKAKAK SETELAH FAJAR ADA KUKUH🤣🤣🤣🤣 GABUNGIN DONG BERTIGA,0,2025-12-22 06:29:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@latifpsht2117,Hansen boleh itu bang 😂,0,2025-12-22 06:27:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@FerryCandra2121,""SERU BANGET ANJIIRRRR, RAJA TERAKHIR dr. TIRTA PENG PENG PENG WAJIB DI UNDANG"",1,2025-12-22 06:25:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@eldiansyahsyamsuar9938,Konsep Acara Lu masing-masing itu sama tau!!! ditunggu buat Frimawan yg bertandang ke kandang Kukuh walaupun gk ada yang di promoin...!!!,0,2025-12-22 06:24:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@misterfranky6098,Kyk cing abdel nih ke counter mulu frimawan.....😅,0,2025-12-22 06:24:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@sunshine-qm8de,yang ngide satuin 2 orang ini siapaaa lagi,0,2025-12-22 06:23:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@pratamaprawira7433,akhir nya dewa logika turun..,0,2025-12-22 06:23:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@KaraengNyonri,Dapat lawan yang sepadan,0,2025-12-22 06:22:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ujangsodikin8646,Yang gila siapa ini teh nga jelas dah gitu saya nonton sampai akhir lagi😂😂😂,0,2025-12-22 06:22:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@engginkhitada5559,""asli ngakak gw, frimawan ada lawan😄"",0,2025-12-22 06:22:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@kalembae411,Dua orang aneh yang bertemu😂,0,2025-12-22 06:22:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@taufikfajri2539,HAHAHAHA tambah rigen sih kacau ini pastii,1,2025-12-22 06:21:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ferisetiadi3033,abis fajar terbitlah kukuh,0,2025-12-22 06:21:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@akunke3137,Podcast odgj ajg,0,2025-12-22 06:20:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rizkysyahputra1557,""Saya suka liat Firmawan Kebalik Emosi.";
"hahaha"",0,2025-12-22 06:20:00";
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@LensaXOfficial,""Curiga, nih si Indra dulu kayanya berguru sama Kukuh ya"",0,2025-12-22 06:19:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Zayn-kj,Bro menemukan lawan yang sepadan 😆,0,2025-12-22 06:19:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Oyisam_45,ini namanya bukan logika frimawan lagi nih tapi logika kukuh 🤣🤣,0,2025-12-22 06:17:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@bayuaditya666,Bro frimawan 2x terkena counter 😂,1,2025-12-22 06:17:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@lalalaylemonella99,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-purple-smiling-tears::face-purple-smiling-tears::face-purple-smiling-tears::face-purple-smiling-tears::face-purple-smiling-tears::face-purple-smiling-tears:,0,2025-12-22 06:17:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@nhienonk,Gelisah banget nontonnya 😂,0,2025-12-22 06:15:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@pulgaming6476,Seru beud sumpah kwkwkw,0,2025-12-22 06:15:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@RizkyHema,Wkwkw akhirnya ada yg sepadan😂😂😂,0,2025-12-22 06:14:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@fauzanpratama91,hahahaha... ampe 4x nonton gw!,0,2025-12-22 06:14:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Justice-ID-y6c,KAMI BUTUH DURASI 24JAM,0,2025-12-22 06:13:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Abdlaazziz,2:40 padahala masih dua menittt... udah ngakak,0,2025-12-22 06:12:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@kartikaardiyansyah433,😂😂,0,2025-12-22 06:12:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@bpk2anak,""Ketemu lawan seimbang, selalu kena counter attack"",0,2025-12-22 06:11:00";
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@chris_gk115,""Bagus nih bikin lagi program baru, namanya DIBUNGKAM LOGIKA"",0,2025-12-22 06:09:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Linaherlina-x6q,😂😂😂😂😂,0,2025-12-22 06:08:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@dwicahyokusumo,""Hanya Guru Gembul yg bisa mengalahkan Kukuh Adi, dan membuat Kukuh Adi ngambek di program Minta Digampar dulu."",0,2025-12-22 06:08:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@HjOri-n1d,Sampai di briefing indra😂😂,0,2025-12-22 06:08:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@armankeceng4674,""20:39 epik moment, cuihhhh🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣"",0,2025-12-22 06:08:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@mhmmdandihrmwn,counter frimawan telah di temukan,0,2025-12-22 06:07:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@EbiRamadhan,😂😂😂,0,2025-12-22 06:06:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@muhammadikhram7394,Surya,0,2025-12-22 06:05:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@nurulmaghfiroh5383,Ini yg  host siapa  dah:v,0,2025-12-22 06:05:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rumahkertass,""ini sejauh, binatang tamu si kukuh gokil sih wkwk, kelang kis🔥🔥🔥"",0,2025-12-22 06:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@Black13-i2k,Mama gufron dong 🎉🎉🎉,0,2025-12-22 06:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@AgisnaAndre,""jirayut, fajar sadboy, kukuh counter frimawan di logickah, next siapa lagi?"",0,2025-12-22 06:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@daviddwiagustian2528,El Clásico,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@arfianernesto,😂😂😂 gue resep gue resep modelan gini lawan berat nih namenye 😅,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@rizalkuper8275,Kalah lu ndra..... Wkwkwk,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@alanvincy_id,counter sesungguh nya indra 😂,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@arifsetiawan6905,Sejauh ini kukuh bintang tamu terngakak 🤣🤣,1,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@zuardinazzaino9496,Anjirr...30 menitan gak jelas..tapi ya tetap ditonton..gokil siyy...sangat menghibur.. hahahha,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@zamzamsilva5207,soleh solihun,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@jessicachristina8320,rigen nonton ini langsung pengen hire kukuh,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@dickywahyuoktavianto878,Akhirnya ada orang ke 3 yg bisa melawan beliau,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@onestandman,Episode paling absurd sepanjang sejarah logic kah Frimawan😂😂 REMATCH PLISSS🤣,1,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@dinaarianti7502,Lawan yg sepadan😂,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@edydwicahyono7616,Baru kali ini liat indra keok😂😂,0,2025-12-22 06:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@icafa1211,""Ok... gua ngerti, yg bikin Frimawan marah2 dan merasakan perasaan bintang tamu lainnya yaitu : ";
1. Fajar Sadboy;
2. Kukuh;
"plis yg ke 3 dan ke 4 minta Pak Haji Bolot dan Bang Komeng. ke 5 Cak lontong. Request plis😂"",0,2025-12-22 06:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@anotherwai5644,HARUS ADA LEG 2 DI KANDANG KUKUH😂,0,2025-12-22 06:00:00;
